ticket	symbol	type	volume_initial	volume_current	price_open	sl	tp	magic	comment	time_setup	time_expiration	time_update
665849508	XAUUSD	BUY_STOP	0.03	0.03	5591.21	5453.27	5624.00	8001	The Gold Reaper_XAUUSD_1	2026.05.06 18:48:05	2026.05.08 05:48:00	2026.05.06 18:51:32
665849509	XAUUSD	SELL_STOP	0.03	0.03	4101.79	4239.73	4069.00	8001	The Gold Reaper_XAUUSD_1	2026.05.06 18:48:05	2026.05.08 05:48:00	2026.05.06 18:51:32
665849513	XAUUSD	BUY_STOP	0.03	0.03	4889.86	4867.25	5028.37	8002	The Gold Reaper_XAUUSD_4	2026.05.06 18:48:05	2026.05.14 18:48:00	2026.05.06 18:51:32
665849515	XAUUSD	SELL_STOP	0.03	0.03	4503.34	4525.95	4364.83	8002	The Gold Reaper_XAUUSD_4	2026.05.06 18:48:05	2026.05.14 18:48:00	2026.05.06 18:51:32
665849517	XAUUSD	BUY_STOP	0.07	0.07	4887.15	4864.54	4979.86	8005	The Gold Reaper_XAUUSD_2	2026.05.06 18:48:06	2026.05.26 18:48:00	2026.05.06 18:51:32
665849518	XAUUSD	SELL_STOP	0.07	0.07	4099.75	4122.36	4007.04	8005	The Gold Reaper_XAUUSD_2	2026.05.06 18:48:06	2026.05.26 18:48:00	2026.05.06 18:51:32
665849522	XAUUSD	BUY_STOP	0.06	0.06	4888.05	4872.22	4962.67	8008	The Gold Reaper_XAUUSD_3	2026.05.06 18:48:06	2026.05.24 18:48:00	2026.05.06 18:51:32
665849525	XAUUSD	SELL_STOP	0.02	0.02	4503.24	4693.57	4488.16	8009	The Gold Reaper_XAUUSD_6	2026.05.06 18:48:06	2026.05.07 14:48:00	2026.05.06 18:51:32
665849527	XAUUSD	SELL_STOP	0.02	0.02	4502.42	4594.61	4486.76	8012	The Gold Reaper_XAUUSD_5	2026.05.06 18:48:06	2026.05.08 00:48:00	2026.05.06 18:51:32
665849532	XAUUSD	SELL_STOP	0.03	0.03	4503.03	4542.17	4477.81	8014	The Gold Reaper_XAUUSD_7	2026.05.06 18:48:07	2026.05.09 06:48:00	2026.05.06 18:51:32
